N	X	Y	Z	FIELD_VALUE
6	0.1691380645	0.1732127024	0.2197510966	0.0065559622
6	0.1665855187	0.1711749894	0.2173484100	0.0067268934
6	0.1640329729	0.1691372764	0.2149457234	0.0069109982
6	0.1614738218	0.1670759573	0.2125727162	0.0071067528
6	0.1589140806	0.1649927864	0.2102212192	0.0073124026
6	0.1563592894	0.1628889864	0.2078838626	0.0075260321
6	0.1538147978	0.1607653623	0.2055537847	0.0077455091
6	0.1512860203	0.1586223726	0.2032243832	0.0079686357
6	0.1487786381	0.1564602061	0.2008891174	0.0081931710
6	0.1462987831	0.1542788553	0.1985413401	0.0084168042
6	0.1438534729	0.1520780747	0.1961739881	0.0086373040
6	0.1414529835	0.1498567206	0.1937778635	0.0088525654
6	0.1391589430	0.1475982489	0.1913073361	0.0090606059
6	0.1368649025	0.1453397771	0.1888368086	0.0092597116
6	0.1346384000	0.1430616957	0.1863191825	0.0094482868
6	0.1324898175	0.1407644399	0.1837475354	0.0096249658
6	0.1304299356	0.1384488360	0.1811156495	0.0097886758
6	0.1284695288	0.1361161948	0.1784184098	0.0099385104
6	0.1266189957	0.1337683362	0.1756521031	0.0100737543
6	0.1248887606	0.1314075698	0.1728141076	0.0101937897
6	0.1232805222	0.1290369788	0.1699079048	0.0102981650
6	0.1217963530	0.1266593502	0.1669369854	0.0103864272
6	0.1204344935	0.1242772362	0.1639069392	0.0104583068
6	0.1191897996	0.1218915639	0.1608256418	0.0105136218
6	0.1180546440	0.1195066347	0.1576981312	0.0105524143
6	0.1169692948	0.1171220859	0.1545511661	0.0105750591
6	0.1159823098	0.1147299047	0.1513754527	0.0105823426
6	0.1149953248	0.1123377235	0.1481997394	0.0105756324
6	0.1139360330	0.1099217476	0.1450692048	0.0105569671
6	0.1127984888	0.1074959449	0.1419769720	0.0105288990
6	0.1114254816	0.1050493581	0.1390088061	0.0104941615
